region,population,lat,long
강남구,394557,37.4959854,127.0664091
강동구,275054,37.5492077,127.1464824
강북구,253526,37.6469954,127.0147158
강서구,462215,37.5657617,126.8226561
관악구,708921,37.4653993,126.9438071
광진구,351527,37.5481445,127.0857528
구로구,282881,37.4954856,126.858121
금천구,226159,37.4600969,126.9001546
노원구,318636,37.655264,127.0771201
도봉구,194003,37.6658609,127.0317674
동대문구,346640,37.5838012,127.0507003
동작구,356601,37.4965037,126.9443073
마포구,353963,37.5622906,126.9087803
서대문구,280615,37.5820369,126.9356665
서초구,251738,37.4769528,127.0378103
성동구,245866,37.5506753,127.0409622
성북구,347823,37.606991,127.0232185
송파구,398525,37.5048534,127.1144822
양천구,219024,37.5270616,126.8561534
영등포구,346101,37.520641,126.9139242
용산구,210256,37.5311008,126.9810742
은평구,312977,37.6176125,126.9227004
종로구,149761,37.5990998,126.9861493
중구,130078,37.5579452,126.9941904
중랑구,311755,37.5953795,127.0939669
